Rua,Bairro,Cidade,Metragem,Quartos,Banheiros,Vagas,Valor,lat,lon
"Avenida Itacira, 255 ",Planalto Paulista,São Paulo,1000,4,8,6,7000000,-23.60459730071331,-46.65275289259601
"Rua Aurelia Perez Alvarez, 42 ",Jardim dos Estados,São Paulo,496,4,4,4,3700000,-23.6411482,-46.6870008
Rua Alba Valdez,Jardim Reimberg,São Paulo,125,4,3,2,380000,-23.7510776,-46.6964094
,Jardim Morumbi,São Paulo,310,3,2,4,685000,-23.4674102,-47.4404657
"Rua Tobias Barreto, 195 ",Mooca,São Paulo,100,3,2,2,540000,-23.5520539,-46.5902581
Rua Graham Bell,Santo Amaro,São Paulo,440,4,4,6,1980000,-23.6390881,-46.6957315
"Rua Francisco Paulo, 31 ",Cidade Mãe do Céu,São Paulo,145,4,4,2,850000,-23.5468419,-46.5745512
"Rua Guilherme Valente, 150 ",Jardim Vergueiro,São Paulo,150,2,2,2,450000,-23.6675984,-46.7318219
"Rua Sagrada Família, 8 ",Jardim Benfica,São Paulo,48,2,1,1,199900,-23.5136671,-46.3967273
Rua Tapaji,Vila Alpina,São Paulo,114,3,3,2,585000,-23.6004754,-46.5614932
"Rua Vigário João Álvares, 66 ",Vila Monumento,São Paulo,261,4,4,3,700000,-23.5766348,-46.6123253
,Jardim Luzitânia,São Paulo,436,4,3,3,15000,-23.64705085,-46.78020523242816
"Rua Tuim, 449 ",Vila Uberabinha,São Paulo,193,3,3,2,2500000,-23.6007902,-46.6693536
"Rua Antônio Pereira Mendes, 98 ",Jardim Prudência,São Paulo,251,3,5,4,1700000,-23.6541741,-46.6762224
"Rua João Antunes Carvalho, 75 ",Lauzane Paulista,São Paulo,300,4,5,4,1150000,-23.4813679,-46.6422188
Rua Timbé,Jardim Santa Maria,São Paulo,135,3,3,2,550000,-23.5498811,-46.5078842
Rua João Tauler,Vila Nova,São Paulo,180,4,2,4,420000,-23.5936082,-46.5316743
"Rua Alice Garcia Vega, 345 ",Itaberaba,São Paulo,300,3,5,4,2232000,-23.4877168,-46.6907767
"Rua Graham Bell, 332 ",Santo Amaro,São Paulo,772,7,7,6,2700000,-23.6390881,-46.6957315
"Avenida Antônio Joaquim de Moura Andrade, 294 ",Vila Nova Conceição,São Paulo,605,3,3,4,4190000,-23.585718,-46.6674704
"Rua Marcos Fernandes, 1039 ",Jardim da Saúde,São Paulo,110,3,2,5,860000,-23.618984,-46.6163777
"Rua José Leão dos Santos, 606 ",Jardim Santo Antônio,São Paulo,250,4,4,4,650000,-23.5136292,-46.4259744
"Rua Jaime Pinto Ferreira, 93 ",Vila Mazzei,São Paulo,120,2,1,1,490000,-23.471537,-46.6018924
Rua Aldo de Azevedo,Vila Madalena,São Paulo,170,2,2,1,1485000,-23.5428499,-46.7092844
"Rua Antônio Wey, 161 ",Jardim Ivana,São Paulo,250,3,1,5,650000,-23.5677463,-46.7513735
"Rua João Francisco de Moura, 111 ",Vila Campo Grande,São Paulo,110,3,3,2,550000,-23.6807463,-46.6784764
"Rua Serra de Botucatu, 993 ",Vila Gomes Cardim,São Paulo,120,3,2,2,1100000,-23.542694349631994,-46.56232067409943
"Rua Andrade Neves, 37 ",Bela Aliança,São Paulo,502,4,6,4,2985000,-23.5240308,-46.7203783
Rua Japeacaba,Vila Albertina,São Paulo,268,3,6,4,1700000,-23.4539431,-46.6185227
Rua Senador Vergueiro,Santo Amaro,São Paulo,355,4,7,4,3100000,-23.6463462,-46.6935869
Rua dos Plátanos,Cidade Jardim,São Paulo,1195,4,4,6,8700000,-22.9514201,-46.7743859
,Parque da Lapa,São Paulo,220,4,4,3,849000,-13.25308515,-43.41486546565343
"Rua Domingos Menezes, 179 ",Vila Libanesa,São Paulo,320,5,4,6,890000,-23.5068355,-46.5065043
Rua Manuel Monteiro,Cidade Domitila,São Paulo,180,3,3,4,550000,-23.664141,-46.6488773
